Data,Pre̤o,Abertura,Alta,Baixa,Vol.,Var%,
26/02/2026,"5.149,50","5.141,50","5.165,00","5.143,50","135,49K","0,13%",
25/02/2026,"5.142,83","5.133,00","5.168,50","5.123,00","2,63M","0,21%",
24/02/2026,"5.132,17","5.144,00","5.172,50","5.121,00","2,75M","-0,43%",
23/02/2026,"5.154,33","5.179,00","5.190,50","5.148,00","2,46M","-0,35%",
22/02/2026,"5.172,63","5.192,00","5.198,00","5.145,50","2,89M","-0,26%",
19/02/2026,"5.186,14","5.222,50","5.233,50","5.179,50","2,96M","-0,98%",
18/02/2026,"5.237,67","5.260,00","5.266,50","5.221,50","3,05M","-0,37%",
17/02/2026,"5.257,34","5.218,00","5.262,50","5.205,50","1,66M","0,66%",
12/02/2026,"5.222,69","5.234,00","5.264,50","5.217,50","2,92M","0,00%",
11/02/2026,"5.222,69","5.194,00","5.236,00","5.171,00","3,17M","0,44%",
10/02/2026,"5.200,01","5.204,50","5.220,50","5.185,00","2,62M","-0,44%",
09/02/2026,"5.223,13","5.214,00","5.231,50","5.202,00","2,26M","0,17%",
08/02/2026,"5.214,25","5.230,00","5.233,50","5.195,00","2,51M","-1,23%",
05/02/2026,"5.279,18","5.269,00","5.278,50","5.228,00","2,74M","0,00%",
04/02/2026,"5.279,18","5.276,00","5.314,00","5.260,50","3,12M","-0,08%",
03/02/2026,"5.283,22","5.268,00","5.291,50","5.241,50","2,63M","0,29%",
02/02/2026,"5.267,78","5.275,50","5.292,50","5.235,00","3,03M","-0,46%",
01/02/2026,"5.291,97","5.297,50","5.312,00","5.266,50","2,40M","1,18%",
29/01/2026,"5.230,10","5.208,50","5.239,00","5.195,00","144,43K","0,72%",
28/01/2026,"5.192,63","5.200,00","5.252,50","5.167,50","3,38M","-0,61%",